# p q signal noise
18 97 4.431e+01 3.779e+00
18 98 3.923e+01 3.779e+00
18 99 4.046e+01 3.779e+00
18 108 3.038e+01 3.779e+00
18 109 4.021e+01 3.779e+00
18 110 4.045e+01 3.779e+00
18 111 4.160e+01 3.779e+00
18 112 4.053e+01 3.779e+00
18 113 3.328e+01 3.779e+00
18 114 3.357e+01 3.779e+00
19 96 4.162e+01 3.779e+00
19 97 4.876e+01 3.779e+00
19 98 5.538e+01 3.779e+00
19 99 5.484e+01 3.779e+00
19 100 4.597e+01 3.779e+00
19 101 4.284e+01 3.779e+00
19 102 4.035e+01 3.779e+00
19 103 3.659e+01 3.779e+00
19 104 3.286e+01 3.779e+00
19 105 3.400e+01 3.779e+00
19 106 3.670e+01 3.779e+00
19 107 4.983e+01 3.779e+00
19 108 4.085e+01 3.779e+00
19 109 4.642e+01 3.779e+00
19 110 4.775e+01 3.779e+00
19 111 5.450e+01 3.779e+00
19 112 6.361e+01 3.779e+00
19 113 4.963e+01 3.779e+00
19 114 5.260e+01 3.779e+00
19 115 5.242e+01 3.779e+00
19 116 6.241e+01 3.779e+00
19 117 5.075e+01 3.779e+00
19 118 4.606e+01 3.779e+00
19 119 3.498e+01 3.779e+00
19 120 3.945e+01 3.779e+00
19 121 4.427e+01 3.779e+00
19 122 4.075e+01 3.779e+00
20 88 4.610e+01 3.779e+00
20 94 4.735e+01 3.779e+00
20 95 3.227e+01 3.779e+00
20 96 4.474e+01 3.779e+00
20 97 6.186e+01 3.779e+00
20 98 6.512e+01 3.779e+00
20 99 7.158e+01 3.779e+00
20 100 6.740e+01 3.779e+00
20 101 5.757e+01 3.779e+00
20 102 5.412e+01 3.779e+00
20 103 5.248e+01 3.779e+00
20 104 4.450e+01 3.779e+00
20 105 4.996e+01 3.779e+00
20 106 5.769e+01 3.779e+00
20 107 6.752e+01 3.779e+00
20 108 5.911e+01 3.779e+00
20 109 5.664e+01 3.779e+00
20 110 5.875e+01 3.779e+00
20 111 6.792e+01 3.779e+00
20 112 6.982e+01 3.779e+00
20 113 6.349e+01 3.779e+00
20 114 7.879e+01 3.779e+00
20 115 7.760e+01 3.779e+00
20 116 7.633e+01 3.779e+00
20 117 7.273e+01 3.779e+00
20 118 6.131e+01 3.779e+00
20 119 5.794e+01 3.779e+00
20 120 6.519e+01 3.779e+00
20 121 5.622e+01 3.779e+00
20 122 4.832e+01 3.779e+00
20 123 3.824e+01 3.779e+00
21 85 3.105e+01 3.779e+00
21 86 3.573e+01 3.779e+00
21 87 4.390e+01 3.779e+00
21 88 4.630e+01 3.779e+00
21 89 4.590e+01 3.779e+00
21 90 3.501e+01 3.779e+00
21 91 2.943e+01 3.779e+00
21 92 3.676e+01 3.779e+00
21 93 5.742e+01 3.779e+00
21 94 5.656e+01 3.779e+00
21 95 3.828e+01 3.779e+00
21 96 6.641e+01 3.779e+00
21 97 7.555e+01 3.779e+00
21 98 8.042e+01 3.779e+00
21 99 8.862e+01 3.779e+00
21 100 8.730e+01 3.779e+00
21 101 7.898e+01 3.779e+00
