bin              f_oii f_neiii   f_hd   f_hg   f_hb f_oiii59 f_oiii07            unc_oii unc_neii unc_hd unc_hg unc_hb unc_oiii59 unc_oiii07
--- ------------------ ------- ------ ------ ------ -------- -------- ------------------ -------- ------ ------ ------ ---------- ----------
  0            148.961   3.132 13.708 29.623 77.693   17.243   46.516 5.1259999999999994    0.963  0.882  0.981  1.095      1.795      1.587
  1             41.991     nan  3.271  8.078 17.467    4.583   12.488              2.593      nan  0.562  0.539   0.93      0.723      1.291
 10            136.128     nan 13.591 31.007 75.239   17.303   44.383 4.0969999999999995      nan  1.154  1.443  1.791      1.915      1.976
100              52.58   2.464  4.489  8.185 19.951    8.234   25.771              2.981    0.755  0.603  0.635  1.222      0.866      1.799
101             57.238     nan  5.108 10.176 25.878    6.166   18.884 2.5599999999999996      nan  0.684  0.737  0.961      1.043      1.088
102              92.93   3.187   9.05 18.447 44.149    7.785   28.254 2.9770000000000003    0.919  0.564  0.645  1.137      1.329      1.851
103              38.23   1.167  2.976  5.604 13.511    3.483   11.863 0.7989999999999999    0.252  0.372  0.507   0.66      0.656      1.046
104             23.573   1.607   1.91  3.499  8.532    2.608    7.014              0.998    0.529  0.424   0.47  0.732      0.697      0.602
105             71.102   2.762  6.206 12.541 27.689    7.596   23.409              1.974    0.836  0.659   1.06   0.97      1.151      1.668
106             26.148     nan  2.283  3.735  8.719     2.62    9.068              0.858      nan  0.326   0.37  0.684      0.479      1.059
 11 48.894999999999996   2.422  3.116  6.475  15.23    6.402   18.305              1.272    0.536  0.557  0.587  0.897      0.918       1.32
 12             88.996     nan  9.366 20.631 53.511    8.856   26.272                3.4      nan  0.913  1.461  1.862       1.34      3.085
 13             79.349     nan  8.414 15.902 43.997    7.182   24.555              3.449      nan  1.401  1.706  2.104      2.388      3.126
 14            100.225   4.238  7.137   15.5  34.18   13.998    43.16              4.577    1.162  0.533   0.77  1.774      1.445      2.193
 15              39.82   1.757  3.647  8.168 17.876    5.438   12.442              1.134    0.379  0.513  0.476  0.931       0.61      1.278
 16             58.329     nan  6.313 11.128  29.65    6.058   15.619              2.109      nan  0.466  0.953  1.455       0.84      1.582
 17  61.82300000000001     nan  7.436 12.968 37.841    6.942    18.12              3.614      nan  1.416   1.46  2.774      1.644      2.425
 18             70.404     nan  6.745 14.363 32.478    6.852   20.061 3.2489999999999997      nan  0.814  1.077  2.388      1.485      2.848
 19             87.619     nan  8.921  19.71  40.58   12.282   30.881              5.689      nan  1.746  1.185  3.806      1.759      3.183
  2            144.521     nan 12.404 28.832 72.142   19.719   44.012  4.550000000000001      nan  0.908  1.284  3.396      2.152      3.986
 20             40.562   2.065  2.974  4.607 12.559     7.71   21.318 2.4480000000000004    0.541  0.351  0.402  0.609      0.744      1.199
 21            102.631   3.995  8.554  16.34 39.525   18.956    56.43 6.1370000000000005    0.875  0.714  0.568  1.396      1.258      2.748
 22             38.723     nan  1.986   5.09 12.182    4.966   12.177              1.163      nan   0.41  0.596  0.716       0.56      1.059
 23             44.485   1.807  2.998  6.598 14.922    6.574   22.104              1.552    0.574  0.424  0.515  1.105      0.644      1.702
 24             84.696     nan  7.504 14.386  35.04   10.447   31.001 2.6479999999999997      nan  0.835  1.025  1.914      1.348       1.71
 25             67.935   2.954  6.734 10.913 29.641    6.916   20.561              2.427    0.721  0.544  1.144  2.272      1.207      1.555
 26              49.39     nan  5.773 10.753 31.285    5.793   13.321 2.5629999999999997      nan  1.075  1.185  1.503      1.248       1.95
 27 35.245999999999995   1.668  2.478  4.624 11.475    3.114    9.197              1.596     0.43  0.452  0.436  0.794      0.483      1.228
 28 29.840000000000003   1.306  1.782  4.043 11.493    4.486    8.959              1.151    0.364  0.362  0.375  0.679      0.683      1.166
 29 56.263999999999996     nan  3.782 11.254 24.392    4.836   12.221              2.005      nan  0.495  0.698  1.473      1.125      1.685
  3             42.343     nan  3.347  5.956 15.956    4.544   12.921              2.767      nan  0.669  0.657  1.586      0.778      1.845
 30             56.344     nan  4.095  9.389 29.136    4.142   14.934 1.9260000000000002      nan  0.739  0.723  1.811      1.078      1.542
 31             31.107   1.312  2.508   4.15 11.853    2.947    8.291              1.392    0.279  0.424  0.529  0.675      0.562      0.969
 32             82.304     nan  8.443 17.969 46.596    6.256    20.58              2.502      nan  0.735  0.836  1.714      1.324      2.192
 33             36.782   1.421  3.987  5.719 15.734    3.826    11.57              0.757     0.42  0.478  0.523  0.464      0.879      0.991
 34  65.08699999999999   2.305    5.5 12.968 27.988    6.786   18.047              2.112    0.689  0.743  0.699  1.589      0.942       2.11
 35             21.761   0.951  1.217  2.843  6.158    2.008    7.006              0.817    0.275  0.325  0.439  0.845      0.553      0.683
 36             71.316   1.825  6.381 11.702 27.481    8.963   25.526              4.479    0.605  0.494  0.521   0.85      0.878      1.177
 37 58.272999999999996   2.564  4.184  8.728 18.829    6.517   19.166              2.504    0.531  0.461  0.708  0.788      0.691      1.311
 38 40.275999999999996   1.587  2.626  5.898 14.228    5.032   15.131 0.9530000000000001    0.427  0.372  0.529  0.613       0.51      0.683
 39             11.696     nan    nan   1.58  2.992      nan     3.78 0.8160000000000001      nan    nan  0.432  0.308        nan      1.079
  4            116.757   2.753 11.186 21.353 53.962   16.528   36.496              5.378    0.715  1.286  1.332  2.787      1.232       2.69
 40 31.549999999999997     nan  2.287  4.617  9.228    3.015    9.936 0.9590000000000001      nan  0.502  0.522  0.834      0.416      0.987
 41             28.358     nan   2.84  3.481 11.278    3.747    9.376              1.671      nan  0.852   0.66  0.735      0.874      1.708
 42             43.033   1.184   3.66  8.169 19.949     4.06    13.74 0.7989999999999999    0.376  0.386  0.372  0.934      0.577      1.302
 43             32.116     nan  2.438   5.62 13.475    2.925   10.132              1.205      nan  0.399  0.664  0.992      0.568      1.299
 44 54.391000000000005   2.214   5.04   11.6 25.137    5.185   15.465               1.79    0.718  0.509  0.838   0.95      0.992      1.555
 45 19.939999999999998     nan  2.125  2.968   7.81    3.013    6.779 2.0229999999999997      nan   0.34  0.506  0.629       0.54      0.534
 46             37.116     nan  3.674  6.872 19.077    3.817    9.582              1.146      nan  0.323  0.371  0.864      0.785      1.142
 47             61.078   2.448  5.403 12.139 29.955     4.87   14.886 1.7639999999999998    0.544  0.573  1.068  1.305      0.895      1.713
 48             29.777     nan  2.797  4.867 10.942    3.597    8.348              1.201      nan  0.486  0.313  0.506      0.635      0.794
 49             31.428     nan  2.928  5.346 14.693    3.207     9.23               1.17      nan  0.485  0.624  0.801      0.599      0.957
  5 40.751999999999995   2.143  3.054  5.642 14.359    4.896   13.001              2.615     0.47  0.511  0.398  1.161      0.765      0.927
 50             54.085     nan   4.57  9.822 22.812    5.442   16.257              2.177      nan  0.528  0.816   1.38      0.832      0.945
 51             27.469     nan  2.704  4.232 13.449    2.697    7.206              1.029      nan  0.262  0.301  0.912      0.758      0.978
 52             61.497   3.174  4.549 10.434 25.654    8.626    23.36 3.7800000000000002    0.803  0.772  0.961  1.515      1.029      1.646
 53 22.959000000000003     nan  1.487  2.801  7.298    3.112    9.378              0.923      nan  0.316  0.345  0.707      0.362      0.748
 54             65.638     nan  5.539 12.078 31.971    7.393   24.268              1.424      nan  0.637   0.81  0.886       1.01      1.226
 55             27.446     nan  2.335  4.852 13.436    3.499    9.655              1.459      nan  0.263  0.468  1.027      0.621       0.96
 56             84.312   2.927   8.71 14.313 36.882    10.97   31.894              4.255    0.712  0.872  0.766  1.155      0.985        1.5
 57             46.661   2.266  3.996  6.841 18.524    9.014   26.736              3.423    0.595  0.746  0.711  0.532       0.61      1.399
 58             67.106   3.682  6.126 14.854 36.181    7.725   24.257              1.938    0.952  0.857  0.706  1.175      1.105      1.518
 59             21.205     nan   2.18  3.415  6.916    4.603   13.775 1.6589999999999998      nan  0.356  0.412  0.487      0.563      0.867
  6  99.83600000000001   4.213  7.557 18.002 44.021    9.807   29.502              3.968    1.394  0.737  0.999  1.578      1.888      2.715
 60  93.51599999999999   4.133   8.07 16.608 41.645   18.925   59.128              6.457    0.628   0.64  0.663  1.291      0.923      1.676
 61             25.462   1.063  2.084  4.703 11.471    3.341   10.535               1.53    0.328  0.352  0.464  1.009      0.577      1.039
 62 60.169000000000004     nan  5.695 13.161 30.051    8.829    26.55              1.665      nan  0.552  0.731  1.582      0.997      1.474
 63             64.386   2.659  5.744 10.595 27.322    9.723   30.424 2.2110000000000003    0.657  0.598    0.6  1.354      0.872      1.751
 64             31.782     nan   2.81   6.26 13.554    2.382    9.613              1.444      nan  0.424  0.633  1.046      0.662      1.562
 65             30.509     nan  3.006  6.916 14.234      3.2    8.048              1.658      nan  0.392  0.527  1.056      0.729      1.414
 66             29.926     nan  2.333  4.374 10.006    3.674   11.779              1.189      nan  0.299  0.253   0.49      0.622      0.862
 67 63.790000000000006   3.134  6.136 13.377 35.898    7.369   16.287              2.314    0.688  0.379  0.638  1.414      1.018      1.986
 68             66.583     nan  7.299 12.082 27.881    7.058   19.622 2.8449999999999998      nan  0.664  0.866  1.672      1.187      1.746
 69             37.195   1.704  3.703   7.28 17.986    3.023    9.135 1.5630000000000002    0.434  0.289   0.45  0.653      0.912      1.121
  7 106.82900000000001     nan  8.525 15.125 41.722   14.734   33.165 2.4690000000000003      nan  0.979  0.828  0.755      1.452      1.751
 70 31.270000000000003     nan  2.141  5.203 11.643    3.426    8.826              1.898      nan  0.311  0.274  0.575      0.442      0.614
 71              76.59     nan   7.94 17.583 39.451    8.011   21.725               2.08      nan   0.69  0.946  1.924       1.08      2.554
 72             29.102   1.648   2.49  6.521 15.495     2.45    6.287              1.314    0.435  0.434  0.378  0.908      0.606      0.822
 73             70.486   2.791  7.268  17.53 36.627    7.641    18.32              1.553    0.857  0.711  0.512  1.497      1.182       1.59
 74             31.476     nan  2.101  4.542 12.944    3.474   10.176               1.43      nan  0.416  0.453  1.042       0.43      1.032
 75             71.964     nan  5.831 14.811 33.423    8.029   22.176              1.286      nan  0.708  1.003  1.785      1.132      1.538
 76 31.259999999999998     nan   3.04  6.637 14.807    3.788   10.838              0.947      nan  0.333  0.546  0.715      0.873      0.979
 77             53.313   2.855   5.21 11.534 27.136    6.585   17.322              2.144    0.735   0.48  0.815  1.296      1.096      1.803
 78 27.087000000000003   1.388  2.154  3.742   9.08    2.241    7.906              1.427    0.398   0.37  0.323  0.588      0.635      0.762
 79             26.024     nan  2.398  4.844 12.155    3.176    7.806              1.819      nan  0.341  0.368  0.793      0.391      0.644
  8             97.155     nan  9.483 20.945 55.745   11.971    24.53              4.616      nan  1.032  1.022  2.665      2.393      2.344
 80             42.146   1.938   4.44  8.373 22.792    4.843   12.787              2.735    0.588  0.443  0.865  1.161      0.998       1.17
 81              22.73   1.634  1.813  3.005  8.838     3.31    6.803              1.068    0.411  0.382   0.53  0.647      0.458      0.475
 82             16.607     nan  1.781  3.886  7.515      nan    5.312              0.931      nan  0.522  0.287  1.056        nan      1.023
 83 41.974999999999994   1.708  4.066  7.767 23.382    4.441    13.06              1.964    0.442  0.435  0.443  1.031      0.786      1.173
 84 27.549999999999997     nan  2.411    5.2 10.359     3.08    9.682              0.778      nan  0.415  0.406  0.637      0.427      0.783
 85 55.696999999999996     nan   4.58 12.418   27.3    5.607   18.084 1.4729999999999999      nan  0.585  1.053  1.996      0.694      2.092
 86             16.761     nan    nan  3.663  8.646    3.452    6.391              0.856      nan    nan  0.662  1.156      0.969      0.891
 87             58.624     nan  5.787 12.548  30.85    6.064   16.664              2.089      nan  0.868  0.694  1.534      1.064      1.849
 88             67.994     nan  5.089 12.295 30.685    8.429   22.207              2.585      nan  0.652  1.048   1.56      1.302      1.788
 89 20.935000000000002     nan  1.683   3.93  9.234    2.508    5.833              1.189      nan  0.303  0.368  0.923      0.604      1.018
  9             93.149     nan  8.642 13.916 31.769    11.77   29.969              3.282      nan  1.124  0.905  1.807      0.869      1.619
 90 36.272999999999996   1.443  2.997  6.365 15.008    5.113   13.867 1.1800000000000002    0.476  0.457  0.619   0.63      0.558      1.167
 91             54.259     nan  5.402 10.661  30.22    4.726   18.282 1.2770000000000001      nan  0.598  0.681  1.831      1.214      2.606
 92             26.641     nan  2.657  4.877 13.266    3.468    7.291              0.723      nan  0.343  0.416  0.468      0.791      1.126
 93             33.701   1.746  2.618  5.501 13.676    4.852   16.277              2.183    0.547  0.335  0.299  0.892      0.524      0.808
 94             54.201     nan  6.086 11.721 29.356     5.04    18.74 2.8529999999999998      nan  0.649  0.568  1.345        0.6      0.998
 95             65.054    3.26  6.932  12.63 32.721    7.902   27.237                3.2     0.98  0.665  0.781  1.287      0.962      2.525
 96             44.633     nan  3.535  6.227 16.776    11.19   32.668  4.026999999999999      nan  0.525  0.518  1.529      0.759      1.531
 97             27.022     nan  2.554  5.376 12.106    3.345    8.792              0.616      nan  0.336  0.479  0.698      0.304      0.998
 98  92.71600000000001   4.403  8.613  17.35 41.276   16.265   49.696              3.177    0.835  0.972  1.294  2.508       1.91      3.584
 99             84.887   2.323  9.173  16.33  43.77    9.789   28.458              2.086    0.707  0.787  1.444  1.906        1.3      2.664
