# p q signal noise
11 16 1.493e+00 1.977e-01
11 17 1.454e+00 1.977e-01
11 18 1.439e+00 1.977e-01
11 19 1.448e+00 1.977e-01
11 20 1.525e+00 1.977e-01
11 21 1.671e+00 1.977e-01
11 22 2.104e+00 1.977e-01
11 23 2.517e+00 1.977e-01
11 24 2.742e+00 1.977e-01
12 13 1.756e+00 1.977e-01
12 14 1.942e+00 1.977e-01
12 15 2.180e+00 1.977e-01
12 16 2.435e+00 1.977e-01
12 17 2.468e+00 1.977e-01
12 18 2.405e+00 1.977e-01
12 19 2.274e+00 1.977e-01
12 20 2.308e+00 1.977e-01
12 21 2.633e+00 1.977e-01
12 22 3.011e+00 1.977e-01
12 23 3.225e+00 1.977e-01
12 24 2.420e+00 1.977e-01
12 25 1.339e+00 1.977e-01
12 26 2.068e+00 1.977e-01
12 27 2.876e+00 1.977e-01
13 11 1.648e+00 1.977e-01
13 12 2.147e+00 1.977e-01
13 13 2.826e+00 1.977e-01
13 14 3.330e+00 1.977e-01
13 15 3.604e+00 1.977e-01
13 16 3.866e+00 1.977e-01
13 17 3.766e+00 1.977e-01
13 18 3.736e+00 1.977e-01
13 19 3.501e+00 1.977e-01
13 20 3.323e+00 1.977e-01
13 21 3.519e+00 1.977e-01
13 22 3.905e+00 1.977e-01
13 23 3.757e+00 1.977e-01
13 24 1.512e+00 1.977e-01
13 26 7.191e-01 1.977e-01
13 27 2.967e+00 1.977e-01
13 28 2.951e+00 1.977e-01
13 29 2.081e+00 1.977e-01
14 10 1.943e+00 1.977e-01
14 11 2.379e+00 1.977e-01
14 12 3.165e+00 1.977e-01
14 13 4.192e+00 1.977e-01
14 14 4.906e+00 1.977e-01
14 15 5.780e+00 1.977e-01
14 16 6.220e+00 1.977e-01
14 17 6.118e+00 1.977e-01
14 18 5.708e+00 1.977e-01
14 19 5.252e+00 1.977e-01
14 20 4.985e+00 1.977e-01
14 21 4.985e+00 1.977e-01
14 22 5.191e+00 1.977e-01
14 23 4.901e+00 1.977e-01
14 24 2.467e+00 1.977e-01
14 25 1.536e-10 1.977e-01
14 26 1.635e+00 1.977e-01
14 27 3.796e+00 1.977e-01
14 28 3.635e+00 1.977e-01
14 29 2.737e+00 1.977e-01
14 30 1.809e+00 1.977e-01
15 10 2.327e+00 1.977e-01
15 11 3.097e+00 1.977e-01
15 12 4.230e+00 1.977e-01
15 13 5.805e+00 1.977e-01
15 14 7.063e+00 1.977e-01
15 15 8.346e+00 1.977e-01
15 16 9.212e+00 1.977e-01
15 17 9.096e+00 1.977e-01
15 18 8.395e+00 1.977e-01
15 19 7.598e+00 1.977e-01
15 20 6.967e+00 1.977e-01
15 21 6.744e+00 1.977e-01
15 22 6.725e+00 1.977e-01
15 23 6.704e+00 1.977e-01
15 24 5.688e+00 1.977e-01
15 25 4.442e+00 1.977e-01
15 26 4.774e+00 1.977e-01
15 27 5.144e+00 1.977e-01
15 28 4.452e+00 1.977e-01
15 29 3.351e+00 1.977e-01
15 30 2.512e+00 1.977e-01
15 31 1.850e+00 1.977e-01
15 32 1.320e+00 1.977e-01
16 9 1.880e+00 1.977e-01
16 10 2.565e+00 1.977e-01
16 11 3.545e+00 1.977e-01
16 12 5.149e+00 1.977e-01
16 13 7.221e+00 1.977e-01
16 14 9.155e+00 1.977e-01
16 15 1.133e+01 1.977e-01
16 16 1.250e+01 1.977e-01
16 17 1.248e+01 1.977e-01
16 18 1.158e+01 1.977e-01
16 19 1.041e+01 1.977e-01
16 20 9.289e+00 1.977e-01
16 21 8.773e+00 1.977e-01
16 22 8.502e+00 1.977e-01
16 23 8.359e+00 1.977e-01
16 24 8.137e+00 1.977e-01
16 25 7.741e+00 1.977e-01
16 26 7.216e+00 1.977e-01
16 27 6.523e+00 1.977e-01
16 28 5.319e+00 1.977e-01
16 29 4.233e+00 1.977e-01
16 30 3.364e+00 1.977e-01
16 31 2.614e+00 1.977e-01
16 32 1.922e+00 1.977e-01
16 33 1.514e+00 1.977e-01
17 9 1.954e+00 1.977e-01
17 10 2.750e+00 1.977e-01
17 11 3.800e+00 1.977e-01
17 12 5.745e+00 1.977e-01
17 13 8.288e+00 1.977e-01
17 14 1.093e+01 1.977e-01
17 15 1.359e+01 1.977e-01
17 16 1.527e+01 1.977e-01
17 17 1.532e+01 1.977e-01
17 18 1.426e+01 1.977e-01
17 19 1.292e+01 1.977e-01
17 20 1.166e+01 1.977e-01
17 21 1.079e+01 1.977e-01
17 22 1.029e+01 1.977e-01
17 23 1.005e+01 1.977e-01
17 24 9.919e+00 1.977e-01
17 25 9.485e+00 1.977e-01
17 26 8.689e+00 1.977e-01
17 27 7.741e+00 1.977e-01
17 28 6.513e+00 1.977e-01
17 29 5.364e+00 1.977e-01
17 30 4.357e+00 1.977e-01
17 31 3.487e+00 1.977e-01
17 32 2.710e+00 1.977e-01
17 33 2.204e+00 1.977e-01
17 34 1.927e+00 1.977e-01
18 9 1.884e+00 1.977e-01
18 10 2.639e+00 1.977e-01
18 11 3.707e+00 1.977e-01
18 12 5.576e+00 1.977e-01
18 13 8.017e+00 1.977e-01
18 14 1.113e+01 1.977e-01
18 15 1.400e+01 1.977e-01
18 16 1.583e+01 1.977e-01
18 17 1.633e+01 1.977e-01
18 18 1.557e+01 1.977e-01
18 19 1.430e+01 1.977e-01
18 20 1.311e+01 1.977e-01
18 21 1.233e+01 1.977e-01
18 22 1.188e+01 1.977e-01
18 23 1.181e+01 1.977e-01
18 24 1.163e+01 1.977e-01
18 25 1.110e+01 1.977e-01
18 26 1.042e+01 1.977e-01
