bin              f_oii f_neiii    f_hd    f_hg    f_hb f_oiii59 f_oiii07            unc_oii unc_neii unc_hd unc_hg unc_hb unc_oiii59 unc_oiii07
--- ------------------ ------- ------- ------- ------- -------- -------- ------------------ -------- ------ ------ ------ ---------- ----------
  0           1464.974  52.881 140.741  327.67 955.718  378.602 1257.783             41.313    9.972 11.419  8.056 25.597     23.447      41.69
  1           1394.444  48.299 175.271 307.622  895.56  329.008 1222.442             49.454   11.991   9.17  8.046 20.379     18.614     30.782
 10            795.722  33.345  84.363 151.094  372.29  135.777  525.284 23.381999999999998    6.012  2.131  3.205  9.153      9.789     15.761
100            368.078     nan  57.026  101.14 261.796   58.995   137.72             16.325      nan  12.59  7.719 22.612     14.592     11.046
101            281.101     nan  31.933  46.855   168.9    34.55   98.037             12.468      nan  4.955  2.763  9.399      9.024      9.177
102 203.44400000000002     nan  28.714  47.108 122.392      nan   94.628 15.129999999999999      nan  4.669  5.564  8.234        nan      5.631
103            329.621     nan  44.284  49.502 216.295   38.456  117.674             15.822      nan  8.622  5.639 12.716     11.328      6.706
104            120.758     nan  10.161  19.281  50.517   15.237   48.851              10.08      nan  2.453  3.249  6.088      4.596      2.642
105            326.823     nan     nan  62.458 227.824   62.451  123.688             21.042      nan    nan  7.229 14.997     12.409     11.301
106            401.727     nan   32.95   89.24 240.131      nan  142.313             26.863      nan  7.746 14.481 21.726        nan     11.832
107            144.309     nan  11.253  17.554  62.015   19.431   54.461              9.353      nan  2.503  2.383   6.59      6.143      4.143
108            361.881     nan  51.868 100.364 224.662   49.487  149.659              25.18      nan   7.32  7.687 17.686     16.149     12.064
109            279.966     nan     nan   44.08 177.715    45.56  105.708             16.982      nan    nan  5.967 15.378     13.574      9.052
 11            922.691  38.055  82.789 190.728 495.857  180.669  636.105             26.723    8.821  4.104  4.151 12.133      9.506     14.604
110            359.788     nan  45.768  84.689 202.027      nan  119.277             23.177      nan  8.588  9.134 11.994        nan     15.304
111 309.58500000000004     nan  44.455  57.806 179.356      nan  105.156             19.488      nan  8.354  5.747 13.284        nan     12.057
112 212.50799999999998     nan     nan  25.548 118.854   37.006  107.573              9.925      nan    nan  4.938 10.549      9.099      8.024
113            318.621     nan  48.693  57.588 243.758      nan  136.255              18.52      nan  9.442  9.468 16.064        nan     16.128
114            308.184     nan  54.986  70.181 208.725   55.715  129.621             24.346      nan 14.158 10.671  18.51     18.348     14.048
115 256.95799999999997  18.555  36.359  44.567 108.985   36.099   91.034             15.051    3.695  5.689  3.809  9.256      7.212      8.579
116             288.32     nan     nan  75.622 181.586      nan    93.42              18.65      nan    nan  8.483 17.874        nan     13.531
117            296.088     nan  40.849  66.226 181.295      nan  100.476             13.457      nan  5.369  7.632 21.115        nan      9.282
118            305.914     nan  25.138  60.608 181.805   36.742  104.443 17.811999999999998      nan  5.929   6.71 19.985      5.949      9.547
119 236.82500000000002     nan   22.74  36.076 124.444   33.673   86.686             12.954      nan  3.779  4.865 12.467      7.712      7.003
