# p q signal noise
24 32 2.936e-19 9.235e-20
24 33 2.915e-19 9.235e-20
25 31 3.990e-19 9.235e-20
25 32 2.936e-19 9.235e-20
25 33 2.915e-19 9.235e-20
25 34 3.047e-19 9.235e-20
26 30 3.690e-19 9.235e-20
26 31 4.148e-19 9.235e-20
26 32 4.160e-19 9.235e-20
26 33 2.426e-19 9.235e-20
26 34 2.567e-19 9.235e-20
27 30 3.690e-19 9.235e-20
27 31 4.148e-19 9.235e-20
27 32 4.160e-19 9.235e-20
27 33 2.426e-19 9.235e-20
27 34 2.567e-19 9.235e-20
27 35 3.070e-19 9.235e-20
28 30 3.197e-19 9.235e-20
28 31 3.671e-19 9.235e-20
28 32 4.194e-19 9.235e-20
28 33 3.142e-19 9.235e-20
28 34 2.169e-19 9.235e-20
28 35 3.332e-19 9.235e-20
28 36 3.046e-19 9.235e-20
29 31 3.671e-19 9.235e-20
29 32 4.194e-19 9.235e-20
29 33 3.142e-19 9.235e-20
29 34 2.169e-19 9.235e-20
29 35 3.332e-19 9.235e-20
29 36 3.046e-19 9.235e-20
29 37 1.987e-19 9.235e-20
30 31 3.164e-19 9.235e-20
30 32 3.456e-19 9.235e-20
30 33 2.118e-19 9.235e-20
30 34 3.837e-19 9.235e-20
30 35 3.187e-19 9.235e-20
30 36 2.870e-19 9.235e-20
30 37 3.779e-19 9.235e-20
30 38 3.459e-19 9.235e-20
30 39 2.870e-19 9.235e-20
31 31 3.164e-19 9.235e-20
31 32 3.456e-19 9.235e-20
31 33 2.118e-19 9.235e-20
31 34 3.837e-19 9.235e-20
31 35 3.187e-19 9.235e-20
31 36 2.870e-19 9.235e-20
31 37 3.779e-19 9.235e-20
31 38 3.459e-19 9.235e-20
31 39 2.870e-19 9.235e-20
31 40 2.155e-19 9.235e-20
32 31 3.211e-19 9.235e-20
32 32 2.670e-19 9.235e-20
32 33 3.933e-19 9.235e-20
32 34 4.649e-19 9.235e-20
32 35 4.516e-19 9.235e-20
32 36 5.306e-19 9.235e-20
32 37 4.867e-19 9.235e-20
32 38 4.673e-19 9.235e-20
32 39 4.203e-19 9.235e-20
32 40 3.434e-19 9.235e-20
33 31 3.211e-19 9.235e-20
33 32 2.670e-19 9.235e-20
33 33 3.933e-19 9.235e-20
33 34 4.649e-19 9.235e-20
33 35 4.516e-19 9.235e-20
33 36 5.306e-19 9.235e-20
33 37 4.867e-19 9.235e-20
33 38 4.673e-19 9.235e-20
33 39 4.203e-19 9.235e-20
33 40 3.434e-19 9.235e-20
34 31 3.476e-19 9.235e-20
34 32 3.873e-19 9.235e-20
34 33 3.416e-19 9.235e-20
34 34 5.141e-19 9.235e-20
34 35 4.491e-19 9.235e-20
34 36 4.261e-19 9.235e-20
34 37 4.103e-19 9.235e-20
34 38 3.401e-19 9.235e-20
34 39 2.859e-19 9.235e-20
34 40 2.261e-19 9.235e-20
35 31 3.476e-19 9.235e-20
35 32 3.873e-19 9.235e-20
35 33 3.416e-19 9.235e-20
35 34 5.141e-19 9.235e-20
35 35 4.491e-19 9.235e-20
35 36 4.261e-19 9.235e-20
35 37 4.103e-19 9.235e-20
35 38 3.401e-19 9.235e-20
35 39 2.859e-19 9.235e-20
35 40 2.261e-19 9.235e-20
36 31 4.035e-19 9.235e-20
36 32 4.386e-19 9.235e-20
36 33 4.930e-19 9.235e-20
36 34 5.542e-19 9.235e-20
36 35 4.619e-19 9.235e-20
36 36 5.658e-19 9.235e-20
36 37 4.345e-19 9.235e-20
36 38 4.748e-19 9.235e-20
36 39 3.881e-19 9.235e-20
36 40 2.713e-19 9.235e-20
37 31 4.035e-19 9.235e-20
37 32 4.386e-19 9.235e-20
37 33 4.930e-19 9.235e-20
37 34 5.542e-19 9.235e-20
37 35 4.619e-19 9.235e-20
37 36 5.658e-19 9.235e-20
37 37 4.345e-19 9.235e-20
37 38 4.748e-19 9.235e-20
37 39 3.881e-19 9.235e-20
37 40 2.713e-19 9.235e-20
38 31 2.674e-19 9.235e-20
38 32 3.244e-19 9.235e-20
38 33 3.769e-19 9.235e-20
38 34 4.444e-19 9.235e-20
38 35 4.773e-19 9.235e-20
